mm_dd_hh,ghi,dhi,dni,temp
04-02 17:00,121.0,48.0,416.9,12.6
04-02 18:00,13.0,8.0,78.9,10.4
04-02 19:00,0.0,0.0,0.0,9.1
04-02 20:00,0.0,0.0,0.0,7.9
04-02 21:00,0.0,0.0,0.0,6.7
04-02 22:00,0.0,0.0,0.0,5.8
04-02 23:00,0.0,0.0,0.0,5.3
04-03 00:00,0.0,0.0,0.0,4.8
04-03 01:00,0.0,0.0,0.0,4.5
04-03 02:00,0.0,0.0,0.0,3.8
04-03 03:00,0.0,0.0,0.0,3.5
04-03 04:00,0.0,0.0,0.0,2.8
04-03 05:00,3.0,2.0,24.2,2.2
04-03 06:00,86.0,37.0,371.6,4.1
04-03 07:00,240.0,65.0,601.7,6.7
04-03 08:00,400.0,81.0,733.3,9.1
04-03 09:00,539.0,91.0,807.9,11.4
04-03 10:00,641.0,97.0,848.3,13.6
04-03 11:00,697.0,100.0,866.1,15.1
04-03 12:00,703.0,102.0,864.1,15.9
04-03 13:00,658.0,98.0,849.4,16.8
04-03 14:00,567.0,92.0,814.3,17.0
04-03 15:00,438.0,83.0,751.1,16.8
04-03 16:00,284.0,71.0,636.1,16.1
04-03 17:00,126.0,47.0,440.3,14.1
04-03 18:00,15.0,10.0,76.3,12.0
04-03 19:00,0.0,0.0,0.0,10.8
04-03 20:00,0.0,0.0,0.0,9.8
04-03 21:00,0.0,0.0,0.0,8.6
04-03 22:00,0.0,0.0,0.0,7.4
04-03 23:00,0.0,0.0,0.0,6.4
04-04 00:00,0.0,0.0,0.0,5.8
04-04 01:00,0.0,0.0,0.0,5.8
04-04 02:00,0.0,0.0,0.0,5.1
04-04 03:00,0.0,0.0,0.0,4.2
04-04 04:00,0.0,0.0,0.0,3.7
04-04 05:00,4.0,3.0,22.6,3.5
04-04 06:00,89.0,38.0,370.0,5.2
04-04 07:00,243.0,67.0,593.3,8.4
04-04 08:00,402.0,83.0,724.0,11.6
04-04 09:00,540.0,93.0,798.4,14.4
04-04 10:00,642.0,99.0,840.0,16.1
04-04 11:00,699.0,102.0,859.9,17.1
04-04 12:00,705.0,102.0,861.2,17.8
04-04 13:00,662.0,100.0,846.6,18.8
04-04 14:00,571.0,94.0,811.7,19.0
04-04 15:00,443.0,85.0,750.7,18.8
04-04 16:00,288.0,71.0,639.8,18.0
04-04 17:00,130.0,48.0,446.2,15.6
04-04 18:00,16.0,10.0,88.6,13.2
04-04 19:00,0.0,0.0,0.0,11.4
04-04 20:00,0.0,0.0,0.0,9.8
04-04 21:00,0.0,0.0,0.0,9.0
04-04 22:00,0.0,0.0,0.0,8.7
04-04 23:00,0.0,0.0,0.0,7.8
04-05 00:00,0.0,0.0,0.0,7.3
04-05 01:00,0.0,0.0,0.0,8.0
04-05 02:00,0.0,0.0,0.0,7.4
04-05 03:00,0.0,0.0,0.0,6.7
04-05 04:00,0.0,0.0,0.0,6.1
04-05 05:00,5.0,5.0,0.0,6.1
04-05 06:00,73.0,58.0,104.3,6.2
04-05 07:00,228.0,102.0,416.6,6.6
04-05 08:00,358.0,146.0,475.2,7.8
04-05 09:00,486.0,152.0,590.9,8.9
04-05 10:00,480.0,306.0,267.1,9.6
04-05 11:00,554.0,305.0,356.2,10.1
04-05 12:00,721.0,116.0,858.4,10.8
04-05 13:00,671.0,124.0,818.5,10.8
04-05 14:00,505.0,216.0,488.2,10.4
04-05 15:00,396.0,149.0,513.3,10.1
04-05 16:00,243.0,107.0,396.1,9.2
04-05 17:00,107.0,68.0,207.4,8.1
04-05 18:00,16.0,11.0,71.6,6.3
04-05 19:00,0.0,0.0,0.0,5.5
04-05 20:00,0.0,0.0,0.0,3.8
04-05 21:00,0.0,0.0,0.0,2.3
04-05 22:00,0.0,0.0,0.0,1.5
04-05 23:00,0.0,0.0,0.0,0.8
04-06 00:00,0.0,0.0,0.0,0.1
04-06 01:00,0.0,0.0,0.0,-0.8
04-06 02:00,0.0,0.0,0.0,-1.2
04-06 03:00,0.0,0.0,0.0,-1.7
04-06 04:00,0.0,0.0,0.0,-2.0
04-06 05:00,7.0,5.0,39.8,-2.1
04-06 06:00,104.0,43.0,407.6,-0.8
04-06 07:00,266.0,72.0,629.6,0.9
04-06 08:00,433.0,85.0,770.4,2.3
04-06 09:00,496.0,164.0,581.9,3.1
04-06 10:00,436.0,280.0,237.6,3.5
04-06 11:00,389.0,304.0,120.8,3.5
04-06 12:00,315.0,250.0,91.6,3.7
04-06 13:00,326.0,276.0,74.3,4.8
04-06 14:00,275.0,209.0,110.7,4.8
04-06 15:00,143.0,134.0,18.5,4.4
04-06 16:00,123.0,120.0,8.6,4.9
04-06 17:00,66.0,61.0,26.0,4.8
04-06 18:00,15.0,12.0,41.7,3.8
04-06 19:00,0.0,0.0,0.0,2.6
04-06 20:00,0.0,0.0,0.0,1.4
04-06 21:00,0.0,0.0,0.0,0.8
04-06 22:00,0.0,0.0,0.0,0.2
04-06 23:00,0.0,0.0,0.0,-0.8
04-07 00:00,0.0,0.0,0.0,0.2
04-07 01:00,0.0,0.0,0.0,1.1
04-07 02:00,0.0,0.0,0.0,1.3
04-07 03:00,0.0,0.0,0.0,0.9
04-07 04:00,0.0,0.0,0.0,1.6
04-07 05:00,3.0,3.0,0.0,2.0
04-07 06:00,46.0,45.0,6.4,2.3
04-07 07:00,123.0,109.0,44.6,3.1
04-07 08:00,215.0,180.0,76.6,4.2
04-07 09:00,278.0,237.0,71.2,5.3
04-07 10:00,606.0,164.0,668.1,7.5
04-07 11:00,675.0,167.0,716.8,8.8
04-07 12:00,327.0,231.0,134.5,8.6
04-07 13:00,248.0,207.0,60.6,8.9
04-07 14:00,143.0,141.0,3.3,9.1
04-07 15:00,140.0,134.0,12.3,9.2
04-07 16:00,112.0,104.0,22.7,9.1
04-07 17:00,90.0,71.0,96.7,8.4
04-07 18:00,14.0,13.0,13.5,7.2
04-07 19:00,0.0,0.0,0.0,6.4
04-07 20:00,0.0,0.0,0.0,5.6
04-07 21:00,0.0,0.0,0.0,5.7
04-07 22:00,0.0,0.0,0.0,5.8
04-07 23:00,0.0,0.0,0.0,4.9
04-08 00:00,0.0,0.0,0.0,3.7
04-08 01:00,0.0,0.0,0.0,5.2
04-08 02:00,0.0,0.0,0.0,4.3
04-08 03:00,0.0,0.0,0.0,3.3
04-08 04:00,0.0,0.0,0.0,2.7
04-08 05:00,9.0,7.0,35.7,2.0
04-08 06:00,57.0,50.0,43.4,3.5
04-08 07:00,148.0,125.0,72.0,4.8
04-08 08:00,245.0,183.0,134.0,6.2
04-08 09:00,485.0,165.0,550.8,8.0
04-08 10:00,670.0,108.0,843.3,9.8
04-08 11:00,564.0,211.0,494.8,10.2
04-08 12:00,551.0,206.0,480.2,10.9
04-08 13:00,533.0,191.0,501.9,11.5
04-08 14:00,431.0,229.0,334.0,11.6
04-08 15:00,324.0,179.0,293.7,11.4
04-08 16:00,251.0,118.0,373.7,10.9
04-08 17:00,107.0,77.0,149.4,9.9
04-08 18:00,16.0,13.0,39.4,8.5
04-08 19:00,0.0,0.0,0.0,7.7
04-08 20:00,0.0,0.0,0.0,6.8
04-08 21:00,0.0,0.0,0.0,6.2
04-08 22:00,0.0,0.0,0.0,5.2
04-08 23:00,0.0,0.0,0.0,4.3
04-09 00:00,0.0,0.0,0.0,3.8
04-09 01:00,0.0,0.0,0.0,4.7
04-09 02:00,0.0,0.0,0.0,3.5
04-09 03:00,0.0,0.0,0.0,3.2
04-09 04:00,0.0,0.0,0.0,3.4
04-09 05:00,7.0,7.0,0.0,4.0
04-09 06:00,63.0,58.0,29.9,5.3
04-09 07:00,208.0,126.0,252.3,7.9
04-09 08:00,405.0,139.0,568.5,10.1
04-09 09:00,458.0,214.0,416.4,10.9
04-09 10:00,433.0,279.0,229.4,11.3
04-09 11:00,434.0,279.0,215.9,11.5
04-09 12:00,442.0,244.0,273.9,11.8
04-09 13:00,521.0,175.0,504.6,12.2
04-09 14:00,437.0,152.0,468.1,11.9
04-09 15:00,284.0,118.0,333.4,11.8
04-09 16:00,169.0,107.0,172.2,11.4
04-09 17:00,90.0,55.0,170.7,11.1
04-09 18:00,21.0,17.0,51.1,9.4
04-09 19:00,0.0,0.0,0.0,8.4
04-09 20:00,0.0,0.0,0.0,8.0
04-09 21:00,0.0,0.0,0.0,7.4
04-09 22:00,0.0,0.0,0.0,7.8
04-09 23:00,0.0,0.0,0.0,7.2
04-10 00:00,0.0,0.0,0.0,6.2
04-10 01:00,0.0,0.0,0.0,6.2
04-10 02:00,0.0,0.0,0.0,5.4
04-10 03:00,0.0,0.0,0.0,4.8
04-10 04:00,0.0,0.0,0.0,4.6
04-10 05:00,9.0,8.0,16.2,4.4
04-10 06:00,48.0,48.0,0.0,5.0
04-10 07:00,108.0,100.0,24.2,5.4
04-10 08:00,163.0,135.0,59.2,6.1
04-10 09:00,237.0,220.0,28.8,7.2
04-10 10:00,399.0,304.0,140.5,8.7
04-10 11:00,390.0,310.0,110.7,9.4
04-10 12:00,360.0,272.0,121.0,10.1
04-10 13:00,380.0,292.0,127.6,10.0
04-10 14:00,384.0,240.0,234.9,10.6
04-10 15:00,262.0,181.0,161.4,10.6
04-10 16:00,200.0,128.0,197.7,10.8
04-10 17:00,135.0,70.0,310.8,10.0
04-10 18:00,26.0,17.0,112.0,8.4
04-10 19:00,0.0,0.0,0.0,7.8
04-10 20:00,0.0,0.0,0.0,7.0
04-10 21:00,0.0,0.0,0.0,7.0
04-10 22:00,0.0,0.0,0.0,6.9
04-10 23:00,0.0,0.0,0.0,6.2
04-11 00:00,0.0,0.0,0.0,5.9
04-11 01:00,0.0,0.0,0.0,6.3
04-11 02:00,0.0,0.0,0.0,6.2
04-11 03:00,0.0,0.0,0.0,6.2
04-11 04:00,0.0,0.0,0.0,5.9
04-11 05:00,14.0,9.0,77.4,5.6
04-11 06:00,91.0,57.0,190.6,5.6
04-11 07:00,115.0,109.0,17.9,5.8
04-11 08:00,227.0,193.0,71.1,7.2
04-11 09:00,425.0,257.0,281.8,9.6
04-11 10:00,479.0,248.0,339.3,10.9
04-11 11:00,478.0,269.0,287.5,11.9
04-11 12:00,299.0,260.0,53.3,11.9
04-11 13:00,343.0,296.0,67.7,12.8
04-11 14:00,280.0,235.0,72.9,13.1
04-11 15:00,232.0,200.0,63.3,13.0
04-11 16:00,273.0,114.0,431.8,13.2
04-11 17:00,89.0,73.0,75.0,12.6
04-11 18:00,15.0,15.0,0.0,11.4
04-11 19:00,0.0,0.0,0.0,10.1
04-11 20:00,0.0,0.0,0.0,9.9
04-11 21:00,0.0,0.0,0.0,9.8
04-11 22:00,0.0,0.0,0.0,10.0
04-11 23:00,0.0,0.0,0.0,9.4
04-12 00:00,0.0,0.0,0.0,8.9
04-12 01:00,0.0,0.0,0.0,9.7
04-12 02:00,0.0,0.0,0.0,9.1
04-12 03:00,0.0,0.0,0.0,7.8
04-12 04:00,0.0,0.0,0.0,6.7
04-12 05:00,15.0,11.0,59.4,7.0
04-12 06:00,112.0,64.0,260.9,8.7
04-12 07:00,260.0,104.0,457.0,10.9
04-12 08:00,417.0,122.0,610.0,12.6
04-12 09:00,564.0,114.0,748.8,14.2
04-12 10:00,672.0,111.0,818.4,15.6
04-12 11:00,735.0,103.0,864.0,16.7
04-12 12:00,732.0,111.0,844.0,17.6
04-12 13:00,646.0,140.0,724.8,17.4
04-12 14:00,551.0,153.0,640.9,17.4
04-12 15:00,453.0,105.0,682.5,17.9
04-12 16:00,311.0,81.0,617.9,18.0
04-12 17:00,155.0,57.0,450.8,16.6
04-12 18:00,30.0,16.0,165.8,14.8
04-12 19:00,0.0,0.0,0.0,13.1
04-12 20:00,0.0,0.0,0.0,11.7
04-12 21:00,0.0,0.0,0.0,10.9
04-12 22:00,0.0,0.0,0.0,10.6
04-12 23:00,0.0,0.0,0.0,10.4
04-13 00:00,0.0,0.0,0.0,9.8
04-13 01:00,0.0,0.0,0.0,9.4
04-13 02:00,0.0,0.0,0.0,8.9
04-13 03:00,0.0,0.0,0.0,8.4
04-13 04:00,0.0,0.0,0.0,8.1
04-13 05:00,17.0,12.0,71.3,8.4
04-13 06:00,135.0,48.0,459.1,10.3
04-13 07:00,297.0,71.0,651.9,13.1
04-13 08:00,451.0,88.0,742.9,15.9
04-13 09:00,577.0,107.0,775.9,18.2
04-13 10:00,612.0,215.0,575.3,19.8
04-13 11:00,597.0,290.0,417.2,20.8
04-13 12:00,510.0,326.0,248.7,21.7
04-13 13:00,586.0,129.0,650.9,22.0
04-13 14:00,288.0,183.0,168.0,19.4
04-13 15:00,305.0,150.0,301.7,18.7
04-13 16:00,239.0,105.0,356.2,17.5
04-13 17:00,88.0,57.0,140.0,16.5
04-13 18:00,25.0,20.0,57.8,15.4
04-13 19:00,0.0,0.0,0.0,14.3
04-13 20:00,0.0,0.0,0.0,13.6
04-13 21:00,0.0,0.0,0.0,13.4
04-13 22:00,0.0,0.0,0.0,13.2
04-13 23:00,0.0,0.0,0.0,12.6
04-14 00:00,0.0,0.0,0.0,12.1
04-14 01:00,0.0,0.0,0.0,11.0
04-14 02:00,0.0,0.0,0.0,9.9
04-14 03:00,0.0,0.0,0.0,9.2
04-14 04:00,0.0,0.0,0.0,8.5
04-14 05:00,19.0,12.0,96.1,9.1
04-14 06:00,125.0,63.0,318.1,11.1
04-14 07:00,272.0,92.0,511.5,13.5
04-14 08:00,379.0,178.0,407.2,15.2
04-14 09:00,436.0,230.0,337.4,16.4
04-14 10:00,626.0,197.0,617.6,17.8
04-14 11:00,601.0,280.0,433.7,18.5
04-14 12:00,569.0,314.0,342.7,19.5
04-14 13:00,425.0,307.0,167.1,18.6
04-14 14:00,421.0,257.0,260.8,18.9
04-14 15:00,333.0,233.0,193.2,18.8
04-14 16:00,257.0,135.0,321.0,18.4
04-14 17:00,146.0,57.0,394.6,17.2
04-14 18:00,32.0,19.0,147.0,15.2
04-14 19:00,0.0,0.0,0.0,14.3
04-14 20:00,0.0,0.0,0.0,13.4
04-14 21:00,0.0,0.0,0.0,12.6
04-14 22:00,0.0,0.0,0.0,12.4
04-14 23:00,0.0,0.0,0.0,12.5
04-15 00:00,0.0,0.0,0.0,12.4
04-15 01:00,0.0,0.0,0.0,13.1
04-15 02:00,0.0,0.0,0.0,12.6
04-15 03:00,0.0,0.0,0.0,12.1
04-15 04:00,0.0,0.0,0.0,11.9
04-15 05:00,21.0,15.0,79.5,11.9
04-15 06:00,114.0,59.0,274.7,13.1
04-15 07:00,196.0,114.0,229.7,14.6
04-15 08:00,239.0,196.0,86.3,15.4
04-15 09:00,317.0,269.0,78.0,16.4
04-15 10:00,355.0,283.0,103.0,17.0
04-15 11:00,451.0,335.0,155.8,17.9
04-15 12:00,340.0,270.0,93.6,17.8
04-15 13:00,385.0,289.0,135.2,17.4
04-15 14:00,411.0,282.0,203.9,17.5
04-15 15:00,334.0,187.0,281.9,17.7
04-15 16:00,223.0,141.0,213.5,17.5
04-15 17:00,125.0,83.0,183.0,16.3
04-15 18:00,33.0,24.0,99.5,14.8
04-15 19:00,0.0,0.0,0.0,13.9
04-15 20:00,0.0,0.0,0.0,13.7
04-15 21:00,0.0,0.0,0.0,14.3
04-15 22:00,0.0,0.0,0.0,14.2
04-15 23:00,0.0,0.0,0.0,13.4
04-16 00:00,0.0,0.0,0.0,13.4
04-16 01:00,0.0,0.0,0.0,13.2
04-16 02:00,0.0,0.0,0.0,12.4
04-16 03:00,0.0,0.0,0.0,11.1
04-16 04:00,0.0,0.0,0.0,10.1
04-16 05:00,25.0,15.0,128.1,10.4
04-16 06:00,145.0,54.0,442.9,11.9
04-16 07:00,303.0,79.0,618.8,14.2
04-16 08:00,461.0,96.0,725.2,16.6
04-16 09:00,596.0,103.0,795.6,18.5
04-16 10:00,695.0,105.0,838.9,20.2
04-16 11:00,743.0,111.0,844.4,21.9
04-16 12:00,746.0,109.0,847.1,23.0
04-16 13:00,701.0,106.0,833.5,24.0
04-16 14:00,557.0,117.0,691.3,24.2
04-16 15:00,447.0,99.0,662.5,23.9
04-16 16:00,294.0,84.0,541.4,22.9
04-16 17:00,160.0,58.0,436.8,21.4
04-16 18:00,39.0,20.0,205.6,19.5
04-16 19:00,0.0,0.0,0.0,17.5
04-16 20:00,0.0,0.0,0.0,16.3
04-16 21:00,0.0,0.0,0.0,16.2
04-16 22:00,0.0,0.0,0.0,16.5
04-16 23:00,0.0,0.0,0.0,16.2
04-17 00:00,0.0,0.0,0.0,15.8
04-17 01:00,0.0,0.0,0.0,15.4
04-17 02:00,0.0,0.0,0.0,15.1
04-17 03:00,0.0,0.0,0.0,15.1
04-17 04:00,0.0,0.0,0.0,15.1
04-17 05:00,25.0,19.0,74.4,15.0
04-17 06:00,146.0,58.0,417.8,16.1
04-17 07:00,310.0,73.0,645.9,17.5
04-17 08:00,461.0,92.0,726.4,19.0
04-17 09:00,592.0,99.0,789.9,20.7
04-17 10:00,688.0,106.0,822.6,22.5
04-17 11:00,743.0,107.0,845.2,23.5
04-17 12:00,744.0,123.0,821.6,24.5
04-17 13:00,626.0,224.0,560.2,24.7
04-17 14:00,462.0,257.0,320.2,24.4
04-17 15:00,454.0,146.0,582.2,24.2
04-17 16:00,232.0,164.0,173.6,23.3
04-17 17:00,127.0,97.0,126.3,22.2
04-17 18:00,16.0,16.0,0.0,21.0
04-17 19:00,0.0,0.0,0.0,20.0
04-17 20:00,0.0,0.0,0.0,19.2
04-17 21:00,0.0,0.0,0.0,18.7
04-17 22:00,0.0,0.0,0.0,18.0
04-17 23:00,0.0,0.0,0.0,16.9
04-18 00:00,0.0,0.0,0.0,15.7
04-18 01:00,0.0,0.0,0.0,10.8
04-18 02:00,0.0,0.0,0.0,11.1
04-18 03:00,0.0,0.0,0.0,10.4
04-18 04:00,0.0,0.0,0.0,10.2
04-18 05:00,9.0,9.0,0.0,10.6
04-18 06:00,21.0,21.0,0.0,10.6
04-18 07:00,65.0,65.0,0.0,10.9
04-18 08:00,147.0,144.0,5.9,11.6
04-18 09:00,91.0,91.0,0.0,11.4
04-18 10:00,96.0,94.0,2.8,11.1
04-18 11:00,123.0,122.0,1.3,11.4
04-18 12:00,103.0,103.0,0.0,11.4
04-18 13:00,126.0,126.0,0.0,10.2
04-18 14:00,114.0,113.0,1.6,10.2
04-18 15:00,83.0,78.0,9.4,9.9
04-18 16:00,72.0,72.0,0.0,9.9
04-18 17:00,23.0,23.0,0.0,9.5
04-18 18:00,6.0,6.0,0.0,9.1
04-18 19:00,0.0,0.0,0.0,8.7
04-18 20:00,0.0,0.0,0.0,8.4
04-18 21:00,0.0,0.0,0.0,8.3
04-18 22:00,0.0,0.0,0.0,8.2
04-18 23:00,0.0,0.0,0.0,8.2
04-19 00:00,0.0,0.0,0.0,8.2
04-19 01:00,0.0,0.0,0.0,7.8
04-19 02:00,0.0,0.0,0.0,7.9
04-19 03:00,0.0,0.0,0.0,7.9
04-19 04:00,0.0,0.0,0.0,7.8
04-19 05:00,19.0,18.0,11.7,8.1
04-19 06:00,38.0,38.0,0.0,8.6
04-19 07:00,74.0,74.0,0.0,8.9
04-19 08:00,162.0,161.0,1.9,9.6
04-19 09:00,142.0,141.0,1.6,9.8
04-19 10:00,206.0,204.0,2.8,10.6
04-19 11:00,159.0,159.0,0.0,11.1
04-19 12:00,149.0,149.0,0.0,11.4
04-19 13:00,204.0,201.0,4.1,11.8
04-19 14:00,172.0,163.0,13.9,11.9
04-19 15:00,197.0,176.0,39.1,12.6
04-19 16:00,141.0,123.0,45.1,12.7
04-19 17:00,81.0,77.0,16.3,12.1
04-19 18:00,28.0,25.0,30.5,10.6
04-19 19:00,0.0,0.0,0.0,8.8
04-19 20:00,0.0,0.0,0.0,7.8
04-19 21:00,0.0,0.0,0.0,7.1
04-19 22:00,0.0,0.0,0.0,6.7
04-19 23:00,0.0,0.0,0.0,5.9
04-20 00:00,0.0,0.0,0.0,5.2
04-20 01:00,0.0,0.0,0.0,4.9
04-20 02:00,0.0,0.0,0.0,4.7
04-20 03:00,0.0,0.0,0.0,4.8
04-20 04:00,0.0,0.0,0.0,4.6
04-20 05:00,35.0,19.0,181.5,5.5
04-20 06:00,164.0,57.0,474.0,7.7
04-20 07:00,325.0,79.0,645.0,10.6
04-20 08:00,482.0,92.0,747.5,13.8
04-20 09:00,613.0,102.0,801.9,16.2
04-20 10:00,709.0,108.0,834.8,17.9
04-20 11:00,723.0,120.0,789.0,18.9
04-20 12:00,729.0,119.0,795.1,19.9
04-20 13:00,653.0,136.0,709.5,20.2
04-20 14:00,547.0,130.0,640.4,20.6
04-20 15:00,425.0,109.0,585.1,20.2
04-20 16:00,258.0,92.0,412.0,18.6
04-20 17:00,143.0,60.0,333.1,17.2
04-20 18:00,42.0,23.0,189.8,15.4
04-20 19:00,0.0,0.0,0.0,14.1
04-20 20:00,0.0,0.0,0.0,13.2
04-20 21:00,0.0,0.0,0.0,12.7
04-20 22:00,0.0,0.0,0.0,12.1
04-20 23:00,0.0,0.0,0.0,11.6
04-21 00:00,0.0,0.0,0.0,10.8
04-21 01:00,0.0,0.0,0.0,11.3
04-21 02:00,0.0,0.0,0.0,10.1
04-21 03:00,0.0,0.0,0.0,9.6
04-21 04:00,0.0,0.0,0.0,9.3
04-21 05:00,30.0,21.0,99.3,10.8
04-21 06:00,154.0,73.0,351.1,12.6
04-21 07:00,295.0,121.0,450.6,13.9
04-21 08:00,406.0,169.0,450.4,15.1
04-21 09:00,519.0,220.0,466.1,16.2
04-21 10:00,392.0,258.0,185.1,16.2
04-21 11:00,460.0,295.0,214.8,16.8
04-21 12:00,201.0,183.0,23.3,15.9
04-21 13:00,90.0,90.0,0.0,14.3
04-21 14:00,130.0,119.0,16.8,13.9
04-21 15:00,406.0,201.0,377.1,15.6
04-21 16:00,294.0,147.0,361.5,15.6
04-21 17:00,155.0,100.0,217.3,14.9
04-21 18:00,38.0,34.0,39.2,13.1
04-21 19:00,0.0,0.0,0.0,11.2
04-21 20:00,0.0,0.0,0.0,10.0
04-21 21:00,0.0,0.0,0.0,9.1
04-21 22:00,0.0,0.0,0.0,8.1
04-21 23:00,0.0,0.0,0.0,7.3
04-22 00:00,0.0,0.0,0.0,6.9
04-22 01:00,0.0,0.0,0.0,6.4
04-22 02:00,0.0,0.0,0.0,7.6
04-22 03:00,0.0,0.0,0.0,7.8
04-22 04:00,0.0,0.0,0.0,7.9
04-22 05:00,35.0,22.0,139.7,8.5
04-22 06:00,164.0,67.0,411.7,10.7
04-22 07:00,320.0,94.0,578.3,12.4
04-22 08:00,483.0,106.0,710.4,14.0
04-22 09:00,560.0,162.0,616.5,14.8
04-22 10:00,495.0,215.0,384.7,15.2
04-22 11:00,524.0,225.0,387.4,15.9
04-22 12:00,503.0,202.0,388.6,16.5
04-22 13:00,466.0,227.0,324.8,16.9
04-22 14:00,499.0,188.0,472.4,16.8
04-22 15:00,387.0,183.0,372.8,16.6
04-22 16:00,259.0,158.0,246.1,16.0
04-22 17:00,124.0,96.0,109.0,15.1
04-22 18:00,44.0,35.0,86.6,13.4
04-22 19:00,0.0,0.0,0.0,11.8
04-22 20:00,0.0,0.0,0.0,10.8
04-22 21:00,0.0,0.0,0.0,9.6
04-22 22:00,0.0,0.0,0.0,8.8
04-22 23:00,0.0,0.0,0.0,8.1
04-23 00:00,0.0,0.0,0.0,7.4
04-23 01:00,0.0,0.0,0.0,6.3
04-23 02:00,0.0,0.0,0.0,6.4
04-23 03:00,0.0,0.0,0.0,6.1
04-23 04:00,0.0,0.0,0.0,5.6
04-23 05:00,44.0,24.0,209.6,6.7
04-23 06:00,174.0,63.0,461.6,9.4
04-23 07:00,336.0,86.0,632.2,12.4
04-23 08:00,484.0,113.0,693.4,14.7
04-23 09:00,569.0,137.0,664.9,16.0
04-23 10:00,566.0,219.0,474.2,16.9
04-23 11:00,599.0,215.0,495.1,17.5
04-23 12:00,546.0,292.0,326.4,18.0
04-23 13:00,484.0,281.0,274.6,18.0
04-23 14:00,434.0,258.0,266.0,18.1
04-23 15:00,318.0,186.0,239.6,17.9
04-23 16:00,303.0,109.0,468.6,17.7
04-23 17:00,190.0,66.0,475.6,16.8
04-23 18:00,56.0,30.0,245.8,14.8
04-23 19:00,1.0,1.0,0.0,13.4
04-23 20:00,0.0,0.0,0.0,12.4
04-23 21:00,0.0,0.0,0.0,11.4
04-23 22:00,0.0,0.0,0.0,10.4
04-23 23:00,0.0,0.0,0.0,10.1
04-24 00:00,0.0,0.0,0.0,9.5
04-24 01:00,0.0,0.0,0.0,9.9
04-24 02:00,0.0,0.0,0.0,9.6
04-24 03:00,0.0,0.0,0.0,9.1
04-24 04:00,0.0,0.0,0.0,8.8
04-24 05:00,43.0,31.0,122.7,9.4
04-24 06:00,153.0,95.0,236.5,11.1
04-24 07:00,241.0,176.0,162.5,12.4
04-24 08:00,219.0,207.0,22.2,13.0
04-24 09:00,105.0,105.0,0.0,12.7
04-24 10:00,131.0,127.0,5.4,12.9
04-24 11:00,211.0,205.0,7.7,13.9
04-24 12:00,143.0,139.0,5.1,13.8
04-24 13:00,193.0,188.0,6.7,13.6
04-24 14:00,148.0,139.0,13.5,13.4
04-24 15:00,134.0,130.0,7.2,13.4
04-24 16:00,75.0,74.0,2.4,12.9
04-24 17:00,33.0,33.0,0.0,12.7
04-24 18:00,6.0,6.0,0.0,12.2
04-24 19:00,0.0,0.0,0.0,12.1
04-24 20:00,0.0,0.0,0.0,11.9
04-24 21:00,0.0,0.0,0.0,11.6
04-24 22:00,0.0,0.0,0.0,11.1
04-24 23:00,0.0,0.0,0.0,10.6
04-25 00:00,0.0,0.0,0.0,10.4
04-25 01:00,0.0,0.0,0.0,10.4
04-25 02:00,0.0,0.0,0.0,9.9
04-25 03:00,0.0,0.0,0.0,9.7
04-25 04:00,0.0,0.0,0.0,9.8
04-25 05:00,11.0,11.0,0.0,10.1
04-25 06:00,66.0,65.0,4.0,10.6
04-25 07:00,197.0,170.0,66.8,10.8
04-25 08:00,172.0,172.0,0.0,10.1
04-25 09:00,207.0,200.0,10.6,10.4
04-25 10:00,421.0,320.0,136.6,12.1
04-25 11:00,533.0,349.0,235.0,13.5
04-25 12:00,602.0,287.0,401.2,14.9
04-25 13:00,482.0,328.0,206.4,14.9
04-25 14:00,405.0,279.0,188.4,15.2
04-25 15:00,260.0,208.0,93.2,14.8
04-25 16:00,187.0,159.0,66.5,14.5
04-25 17:00,87.0,83.0,14.9,13.6
04-25 18:00,35.0,34.0,9.1,12.4
04-25 19:00,1.0,1.0,0.0,10.8
04-25 20:00,0.0,0.0,0.0,9.6
04-25 21:00,0.0,0.0,0.0,8.1
04-25 22:00,0.0,0.0,0.0,7.3
04-25 23:00,0.0,0.0,0.0,6.8
04-26 00:00,0.0,0.0,0.0,6.4
04-26 01:00,0.0,0.0,0.0,6.0
04-26 02:00,0.0,0.0,0.0,5.6
04-26 03:00,0.0,0.0,0.0,4.7
04-26 04:00,0.0,0.0,0.0,4.2
04-26 05:00,56.0,28.0,273.4,5.1
04-26 06:00,198.0,63.0,530.2,6.4
04-26 07:00,363.0,83.0,684.8,8.0
04-26 08:00,522.0,97.0,775.9,9.8
04-26 09:00,656.0,105.0,832.7,11.4
04-26 10:00,753.0,111.0,863.9,12.6
04-26 11:00,805.0,113.0,880.0,13.4
04-26 12:00,808.0,114.0,880.1,13.9
04-26 13:00,762.0,111.0,868.5,14.6
04-26 14:00,669.0,104.0,840.8,14.8
04-26 15:00,539.0,96.0,789.4,14.4
04-26 16:00,383.0,84.0,703.9,13.8
04-26 17:00,216.0,65.0,555.2,12.8
04-26 18:00,70.0,33.0,326.6,10.7
04-26 19:00,2.0,2.0,0.0,9.1
04-26 20:00,0.0,0.0,0.0,8.0
04-26 21:00,0.0,0.0,0.0,6.9
04-26 22:00,0.0,0.0,0.0,5.9
