mm_dd_hh,ghi,dhi,dni,temp
01-06 10:00,64.0,62.0,8.8,8.4
01-06 11:00,41.0,40.0,3.7,8.4
01-06 12:00,80.0,69.0,39.2,9.0
01-06 13:00,92.0,82.0,40.2,8.4
01-06 14:00,38.0,37.0,5.6,8.2
01-06 15:00,34.0,31.0,36.8,8.2
01-06 16:00,0.0,0.0,0.0,7.2
01-06 17:00,0.0,0.0,0.0,7.3
01-06 18:00,0.0,0.0,0.0,7.7
01-06 19:00,0.0,0.0,0.0,8.9
01-06 20:00,0.0,0.0,0.0,9.9
01-06 21:00,0.0,0.0,0.0,9.4
01-06 22:00,0.0,0.0,0.0,8.1
01-06 23:00,0.0,0.0,0.0,6.9
01-07 00:00,0.0,0.0,0.0,6.3
01-07 01:00,0.0,0.0,0.0,7.7
01-07 02:00,0.0,0.0,0.0,7.5
01-07 03:00,0.0,0.0,0.0,7.4
01-07 04:00,0.0,0.0,0.0,7.1
01-07 05:00,0.0,0.0,0.0,6.3
01-07 06:00,0.0,0.0,0.0,6.2
01-07 07:00,0.0,0.0,0.0,6.5
01-07 08:00,12.0,11.0,16.5,6.4
01-07 09:00,51.0,49.0,13.7,6.6
01-07 10:00,101.0,93.0,35.0,6.8
01-07 11:00,201.0,86.0,418.4,7.2
01-07 12:00,240.0,60.0,637.0,7.0
01-07 13:00,218.0,55.0,649.7,7.6
01-07 14:00,140.0,43.0,532.9,6.8
01-07 15:00,53.0,22.0,373.2,5.5
01-07 16:00,1.0,1.0,0.0,4.7
01-07 17:00,0.0,0.0,0.0,4.0
01-07 18:00,0.0,0.0,0.0,3.5
01-07 19:00,0.0,0.0,0.0,2.9
01-07 20:00,0.0,0.0,0.0,2.8
01-07 21:00,0.0,0.0,0.0,3.1
01-07 22:00,0.0,0.0,0.0,3.5
01-07 23:00,0.0,0.0,0.0,3.6
01-08 00:00,0.0,0.0,0.0,3.9
01-08 01:00,0.0,0.0,0.0,4.0
01-08 02:00,0.0,0.0,0.0,4.0
01-08 03:00,0.0,0.0,0.0,3.2
01-08 04:00,0.0,0.0,0.0,3.5
01-08 05:00,0.0,0.0,0.0,2.9
01-08 06:00,0.0,0.0,0.0,2.3
01-08 07:00,0.0,0.0,0.0,2.2
01-08 08:00,23.0,12.0,178.9,2.2
01-08 09:00,114.0,37.0,521.8,3.2
01-08 10:00,208.0,48.0,695.5,4.0
01-08 11:00,247.0,56.0,689.8,4.3
01-08 12:00,232.0,63.0,593.3,4.2
01-08 13:00,215.0,59.0,615.6,5.2
01-08 14:00,121.0,78.0,232.8,4.8
01-08 15:00,44.0,34.0,118.2,3.7
01-08 16:00,1.0,1.0,0.0,3.0
01-08 17:00,0.0,0.0,0.0,2.5
01-08 18:00,0.0,0.0,0.0,2.5
01-08 19:00,0.0,0.0,0.0,1.9
01-08 20:00,0.0,0.0,0.0,1.8
01-08 21:00,0.0,0.0,0.0,2.0
01-08 22:00,0.0,0.0,0.0,1.9
01-08 23:00,0.0,0.0,0.0,1.5
01-09 00:00,0.0,0.0,0.0,1.5
01-09 01:00,0.0,0.0,0.0,2.4
01-09 02:00,0.0,0.0,0.0,3.3
01-09 03:00,0.0,0.0,0.0,5.2
01-09 04:00,0.0,0.0,0.0,5.9
01-09 05:00,0.0,0.0,0.0,6.9
01-09 06:00,0.0,0.0,0.0,7.4
01-09 07:00,0.0,0.0,0.0,7.9
01-09 08:00,17.0,10.0,112.5,7.4
01-09 09:00,66.0,51.0,100.6,8.2
01-09 10:00,83.0,75.0,34.5,8.9
01-09 11:00,110.0,87.0,82.4,10.1
01-09 12:00,103.0,49.0,188.0,10.4
01-09 13:00,58.0,58.0,0.0,9.9
01-09 14:00,111.0,70.0,218.6,10.2
01-09 15:00,7.0,7.0,0.0,8.9
01-09 16:00,0.0,0.0,0.0,8.9
01-09 17:00,0.0,0.0,0.0,8.9
01-09 18:00,0.0,0.0,0.0,8.3
01-09 19:00,0.0,0.0,0.0,1.0
01-09 20:00,0.0,0.0,0.0,0.9
01-09 21:00,0.0,0.0,0.0,0.7
01-09 22:00,0.0,0.0,0.0,0.8
01-09 23:00,0.0,0.0,0.0,1.1
01-10 00:00,0.0,0.0,0.0,1.4
01-10 01:00,0.0,0.0,0.0,1.2
01-10 02:00,0.0,0.0,0.0,1.1
01-10 03:00,0.0,0.0,0.0,1.2
01-10 04:00,0.0,0.0,0.0,1.0
01-10 05:00,0.0,0.0,0.0,0.6
01-10 06:00,0.0,0.0,0.0,0.6
01-10 07:00,0.0,0.0,0.0,0.4
01-10 08:00,14.0,13.0,15.9,0.3
01-10 09:00,64.0,53.0,72.9,0.3
01-10 10:00,115.0,107.0,34.2,0.6
01-10 11:00,99.0,86.0,46.2,0.4
